task,image,prompt,groundtruth,metadata
Subway Connections,images/img_0.png,How many single-color paths go from C to A? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""b72dcafc-6225-4edb-ab9c-e59f57eae664"", ""linewidth"": 10, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_1.png,Count the one-colored routes that go from C to A. Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""b72dcafc-6225-4edb-ab9c-e59f57eae664"", ""linewidth"": 10, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_2.png,How many single-color paths go from B to D? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""b72dcafc-6225-4edb-ab9c-e59f57eae664"", ""linewidth"": 10, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_3.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""b72dcafc-6225-4edb-ab9c-e59f57eae664"", ""linewidth"": 10, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_4.png,How many single-color paths go from C to A? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""34ea239e-0d35-406c-b04d-c6faa8cafe47"", ""linewidth"": 20, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_5.png,Count the one-colored routes that go from C to A. Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""34ea239e-0d35-406c-b04d-c6faa8cafe47"", ""linewidth"": 20, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_6.png,How many single-color paths go from B to D? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""34ea239e-0d35-406c-b04d-c6faa8cafe47"", ""linewidth"": 20, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_7.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""34ea239e-0d35-406c-b04d-c6faa8cafe47"", ""linewidth"": 20, ""size"": 512, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_8.png,How many single-color paths go from C to A? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""cf0ec580-c10f-4495-898f-0e4b20551a1f"", ""linewidth"": 10, ""size"": 1024, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_9.png,Count the one-colored routes that go from C to A. Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""cf0ec580-c10f-4495-898f-0e4b20551a1f"", ""linewidth"": 10, ""size"": 1024, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
Subway Connections,images/img_10.png,How many single-color paths go from B to D? Answer with a number in curly brackets e.g. {3},1,"{""image_id"": ""cf0ec580-c10f-4495-898f-0e4b20551a1f"", ""linewidth"": 10, ""size"": 1024, ""connections"": [{""start"": ""C"", ""end"": ""A"", ""color"": ""steelblue""}, {""start"": ""B"", ""end"": ""D"", ""color"": ""darkorange""}], ""probs"": 0.33, ""prompts"": [[""C"", ""A""], [""B"", ""D""]]}"
